name,address,geometry,address_gc
Ann Arundel Community College,"101 College Pkwy, Arnold",POINT (-76.51183078834117 39.050588399999995),"Health and Life Sciences Building, 101, College Pkwy, 21012, College Pkwy, Arnold, MD, United States"
Baltimore City Community College,"2901 Liberty Heights Ave, Baltimore",POINT (-76.66265059295304 39.32072915),"2901, Liberty Heights Avenue, 21215, Liberty Heights Avenue, Baltimore, MD, United States"
Bowie State University,"14000 Jericho Park Rd, Bowie",POINT (-76.76079224066868 39.01847225),"William E Henry Administration Building, 14000, Jericho Park Road, 20715, Jericho Park Road, Bowie, MD, United States"
Capitol Technology University,"11301 Springfield Rd, Laurel",POINT (-73.756628 40.6683826),"Springfield Boulevard & 143rd Avenue, Springfield Boulevard, 11413, Springfield Boulevard, New York, New York, United States"
Cecil College,"One Seahawk Dr, North East",POINT (-94.3290095 46.8634171),"East One Lake Drive Northwest, Minnesota, United States"
Chesapeake College,"1000 College Cir, Wye Mills",POINT EMPTY,
Community College of Baltimore County,"7200 Sollers Point Rd, Baltimore",POINT (-76.5112495810443 39.267040300000005),"Community College Of Baltimore County - Dundalk, 7200, Sollers Point Road, 21222, Sollers Point Road, Dundalk, MD, United States"
Coppin State University,"2500 W North Ave, Baltimore",POINT (-76.658768 39.3095958),"2500, West North Avenue, 21216, West North Avenue, Baltimore, MD, United States"
Delaware Technical Community College,"506 N Cass St, Middletown",POINT (-74.3934544 41.4375765),"506, Regency Court, 10940, Regency Court, Middletown, NY, United States"
DTCC George Campus,"300 Orange St, Wilmington",POINT (-79.06833409992238 35.9102293),"300 East Main, 300, East Main Street, 27516, East Main Street, Carrboro, NC, United States"
DTCC Owens Campus,"21179 College Dr, Georgetown",POINT (-75.40578940133398 38.6970173),"Delaware Tech Jason Technology Center, 21179, College Drive, 19947, College Drive, Georgetown, DE, United States"
Delaware State University,"1200 N Dupont Hwy, Dover",POINT EMPTY,
Georgetown University,"3700 O St NW, Washington",POINT (-77.07457962060826 38.90893925),"Georgetown University, 3700, O Street Northwest, 20057, O Street Northwest, Washington, DC, United States"
Goldey-Beacom College,"4701 Limestone Rd, Wilmington",POINT EMPTY,
Goucher College,"949 Dulaney Valley Rd, Baltimore",POINT (-76.59994090270449 39.407883),"949, Dulaney Valley Road, 21204, Dulaney Valley Road, Towson, MD, United States"
Harford Community College,"401 Thomas Run Rd, Bel Air",POINT (-76.28300448143668 39.5604675),"Harford Community College, 401, Thomas Run Road, 21015, Thomas Run Road, Bel Air, MD, United States"
Johns Hopkins University,"3101 Wyman Park Drive, Baltimore",POINT (-76.6307095 39.3209301),"Wyman Park Drive, 21211, Baltimore, Maryland, United States"
Loyola University Maryland,"4501 N. Charles Street, Baltimore",POINT (-76.61593184876489 39.34835375),"Loyola University Maryland, 4501, North Charles Street, 21210, North Charles Street, Baltimore, MD, United States"
Maryland Institute College of Art,"1300 W Mount Royal Ave, Baltimore",POINT (-76.61976099495374 39.3050505),"Maryland Institute College of Art, 1300, West Mount Royal Avenue, 21217, West Mount Royal Avenue, Baltimore, MD, United States"
